522,0.008
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.177
537,0.376
538,0.528
539,0.636
540,0.6829999999999999
541,0.6859999999999999
542,0.6679999999999999
543,0.611
544,0.434
545,0.166
546,0.003
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.046
561,0.12
562,0.217
563,0.46299999999999997
564,0.5670000000000001
565,0.515
566,0.49200000000000005
567,0.401
568,0.275
569,0.121
570,0.006999999999999999
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.157
585,0.406
586,0.599
587,0.7240000000000001
588,0.8059999999999999
589,0.809
590,0.7559999999999999
591,0.6509999999999999
592,0.473
593,0.22699999999999998
594,0.012
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.205
609,0.461
610,0.649
611,0.7709999999999999
612,0.8320000000000001
613,0.835
614,0.7829999999999999
615,0.6729999999999999
616,0.5
617,0.256
618,0.017
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.21
633,0.465
634,0.6509999999999999
635,0.772
636,0.838
637,0.841
638,0.789
639,0.6829999999999999
640,0.51
641,0.266
642,0.02
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.238
657,0.489
658,0.67
659,0.785
660,0.8440000000000001
661,0.846
662,0.794
663,0.68
664,0.508
665,0.266
666,0.021
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.235
681,0.484
682,0.667
683,0.784
684,0.8370000000000001
685,0.841
686,0.7909999999999999
687,0.685
688,0.513
689,0.27
690,0.023
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.225
705,0.477
706,0.659
707,0.777
708,0.8420000000000001
709,0.845
710,0.79
711,0.6409999999999999
712,0.396
713,0.157
714,0.018000000000000002
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.24100000000000002
729,0.49200000000000005
730,0.672
731,0.7859999999999999
732,0.847
733,0.8490000000000001
734,0.797
735,0.687
736,0.517
737,0.27699999999999997
738,0.027000000000000003
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.23199999999999998
753,0.483
754,0.665
755,0.78
756,0.838
757,0.841
758,0.789
759,0.674
760,0.502
761,0.261
762,0.024
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.235
777,0.48700000000000004
778,0.667
779,0.779
780,0.8270000000000001
781,0.8290000000000001
782,0.7759999999999999
783,0.674
784,0.502
785,0.262
786,0.025
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.228
801,0.478
802,0.659
803,0.774
804,0.838
805,0.84
806,0.789
807,0.6809999999999999
808,0.51
809,0.271
810,0.027999999999999997
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.22
825,0.46799999999999997
826,0.65
827,0.767
828,0.8230000000000001
829,0.8260000000000001
830,0.774
831,0.66
832,0.486
833,0.247
834,0.022000000000000002
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.179
849,0.431
850,0.62
851,0.742
852,0.8300000000000001
853,0.833
854,0.78
855,0.679
856,0.506
857,0.265
858,0.027000000000000003
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.001
872,0.203
873,0.45399999999999996
874,0.6409999999999999
875,0.763
876,0.838
877,0.8420000000000001
878,0.79
879,0.67
880,0.49700000000000005
881,0.259
882,0.027000000000000003
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.001
896,0.212
897,0.46799999999999997
898,0.652
899,0.77
900,0.8280000000000001
901,0.8310000000000001
902,0.778
903,0.669
904,0.494
905,0.254
906,0.026
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.001
920,0.223
921,0.479
922,0.66
923,0.774
924,0.8300000000000001
925,0.8320000000000001
926,0.779
927,0.6579999999999999
928,0.484
929,0.247
930,0.026
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.001
944,0.198
945,0.45299999999999996
946,0.637
947,0.755
948,0.804
949,0.8
950,0.713
951,0.502
952,0.266
953,0.107
954,0.011000000000000001
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.001
968,0.19399999999999998
969,0.457
970,0.653
971,0.778
972,0.845
973,0.848
974,0.7929999999999999
975,0.675
976,0.495
977,0.252
978,0.027000000000000003
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.002
992,0.218
993,0.476
994,0.6659999999999999
995,0.7909999999999999
996,0.857
997,0.858
998,0.805
999,0.6990000000000001
1000,0.523
1001,0.27899999999999997
1002,0.036000000000000004
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.001
1016,0.10800000000000001
1017,0.35100000000000003
1018,0.635
1019,0.774
1020,0.841
1021,0.8440000000000001
1022,0.79
1023,0.667
1024,0.451
1025,0.17400000000000002
1026,0.016
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.002
1040,0.204
1041,0.45
1042,0.635
1043,0.7559999999999999
1044,0.8250000000000001
1045,0.8280000000000001
1046,0.7759999999999999
1047,0.662
1048,0.419
1049,0.17500000000000002
1050,0.027999999999999997
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.003
1064,0.19699999999999998
1065,0.446
1066,0.634
1067,0.7559999999999999
1068,0.8280000000000001
1069,0.8320000000000001
1070,0.78
1071,0.677
1072,0.506
1073,0.272
1074,0.037000000000000005
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.004
1088,0.24100000000000002
1089,0.49
1090,0.672
1091,0.792
1092,0.855
1093,0.858
1094,0.807
1095,0.6920000000000001
1096,0.522
1097,0.28700000000000003
1098,0.044000000000000004
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.005
1112,0.249
1113,0.5
1114,0.6779999999999999
1115,0.7929999999999999
1116,0.846
1117,0.848
1118,0.7959999999999999
1119,0.6920000000000001
1120,0.523
1121,0.289
1122,0.04
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.005
1136,0.244
1137,0.49200000000000005
1138,0.669
1139,0.7829999999999999
1140,0.843
1141,0.841
1142,0.7959999999999999
1143,0.687
1144,0.52
1145,0.28800000000000003
1146,0.046
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.006
1160,0.245
1161,0.493
1162,0.669
1163,0.7809999999999999
1164,0.8280000000000001
1165,0.8310000000000001
1166,0.782
1167,0.68
1168,0.513
1169,0.28200000000000003
1170,0.044000000000000004
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.004
1184,0.21
1185,0.478
1186,0.657
1187,0.77
1188,0.8320000000000001
1189,0.8340000000000001
1190,0.785
1191,0.6829999999999999
1192,0.516
1193,0.28500000000000003
1194,0.046
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.006
1208,0.21
1209,0.416
1210,0.555
1211,0.6920000000000001
1212,0.805
1213,0.8240000000000001
1214,0.775
1215,0.672
1216,0.506
1217,0.27699999999999997
1218,0.042
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.005
1232,0.171
1233,0.442
1234,0.604
1235,0.745
1236,0.8109999999999999
1237,0.812
1238,0.765
1239,0.665
1240,0.504
1241,0.27699999999999997
1242,0.044000000000000004
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.005
1256,0.182
1257,0.418
1258,0.6000000000000001
1259,0.71
1260,0.731
1261,0.653
1262,0.665
1263,0.64
1264,0.473
1265,0.25
1266,0.037000000000000005
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.006
1280,0.18600000000000003
1281,0.439
1282,0.591
1283,0.6930000000000001
1284,0.799
1285,0.807
1286,0.757
1287,0.6679999999999999
1288,0.504
1289,0.272
1290,0.040999999999999995
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.006999999999999999
1304,0.19899999999999998
1305,0.44299999999999995
1306,0.627
1307,0.743
1308,0.8130000000000001
1309,0.812
1310,0.757
1311,0.644
1312,0.48100000000000004
1313,0.264
1314,0.046
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.009000000000000001
1328,0.22
1329,0.462
1330,0.639
1331,0.753
1332,0.809
1333,0.8130000000000001
1334,0.763
1335,0.667
1336,0.502
1337,0.275
1338,0.046
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.008
1352,0.205
1353,0.442
1354,0.618
1355,0.73
1356,0.81
1357,0.8150000000000001
1358,0.767
1359,0.665
1360,0.504
1361,0.281
1362,0.05
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.009000000000000001
1376,0.206
1377,0.446
1378,0.623
1379,0.741
1380,0.8009999999999999
1381,0.807
1382,0.76
1383,0.6629999999999999
1384,0.5
1385,0.27699999999999997
1386,0.049
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.009000000000000001
1400,0.214
1401,0.455
1402,0.631
1403,0.747
1404,0.8140000000000001
1405,0.8170000000000001
1406,0.769
1407,0.667
1408,0.508
1409,0.29
1410,0.057
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.012
1424,0.228
1425,0.465
1426,0.639
1427,0.752
1428,0.8130000000000001
1429,0.8160000000000001
1430,0.768
1431,0.6609999999999999
1432,0.5
1433,0.28
1434,0.052000000000000005
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.012
1448,0.23399999999999999
1449,0.48
1450,0.657
1451,0.769
1452,0.8310000000000001
1453,0.836
1454,0.79
1455,0.6930000000000001
1456,0.535
1457,0.316
1458,0.07
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.015
1472,0.254
1473,0.499
1474,0.6779999999999999
1475,0.792
1476,0.851
1477,0.855
1478,0.8079999999999999
1479,0.706
1480,0.545
1481,0.322
1482,0.07200000000000001
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.013999999999999999
1496,0.225
1497,0.46399999999999997
1498,0.647
1499,0.763
1500,0.809
1501,0.8109999999999999
1502,0.759
1503,0.6709999999999999
1504,0.506
1505,0.28300000000000003
1506,0.054000000000000006
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.012
1520,0.2
1521,0.441
1522,0.626
1523,0.75
1524,0.8390000000000001
1525,0.843
1526,0.794
1527,0.685
1528,0.52
1529,0.295
1530,0.059
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.015
1544,0.237
1545,0.483
1546,0.6659999999999999
1547,0.7809999999999999
1548,0.847
1549,0.851
1550,0.804
1551,0.7070000000000001
1552,0.542
1553,0.316
1554,0.068
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.019
1568,0.259
1569,0.509
1570,0.6900000000000001
1571,0.8059999999999999
1572,0.861
1573,0.863
1574,0.8109999999999999
1575,0.7020000000000001
1576,0.535
1577,0.309
1578,0.067
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.016
1592,0.228
1593,0.469
1594,0.648
1595,0.767
1596,0.8440000000000001
1597,0.848
1598,0.8
1599,0.6940000000000001
1600,0.531
1601,0.309
1602,0.069
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.019
1616,0.24100000000000002
1617,0.48200000000000004
1618,0.659
1619,0.778
1620,0.838
1621,0.843
1622,0.795
1623,0.6950000000000001
1624,0.532
1625,0.311
1626,0.07100000000000001
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.021
1640,0.253
1641,0.494
1642,0.669
1643,0.7859999999999999
1644,0.846
1645,0.8490000000000001
1646,0.8
1647,0.6930000000000001
1648,0.53
1649,0.309
1650,0.07100000000000001
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.022000000000000002
1664,0.252
1665,0.49200000000000005
1666,0.6659999999999999
1667,0.782
1668,0.835
1669,0.8390000000000001
1670,0.7909999999999999
1671,0.687
1672,0.522
1673,0.304
1674,0.07100000000000001
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.018000000000000002
1688,0.193
1689,0.40399999999999997
1690,0.58
1691,0.6940000000000001
1692,0.7659999999999999
1693,0.795
1694,0.767
1695,0.675
1696,0.527
1697,0.317
1698,0.08
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.024
1712,0.248
1713,0.48100000000000004
1714,0.652
1715,0.763
1716,0.8190000000000001
1717,0.8220000000000001
1718,0.773
1719,0.6759999999999999
1720,0.513
1721,0.294
1722,0.068
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.022000000000000002
1736,0.228
1737,0.45899999999999996
1738,0.633
1739,0.748
1740,0.8290000000000001
1741,0.833
1742,0.785
1743,0.6759999999999999
1744,0.516
1745,0.301
1746,0.073
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.024
1760,0.24100000000000002
1761,0.477
1762,0.652
1763,0.769
1764,0.8320000000000001
1765,0.838
1766,0.792
1767,0.6920000000000001
1768,0.5329999999999999
1769,0.318
1770,0.08199999999999999
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.026
1784,0.247
1785,0.499
1786,0.67
1787,0.7829999999999999
1788,0.841
1789,0.8440000000000001
1790,0.795
1791,0.6970000000000001
1792,0.536
1793,0.317
1794,0.08
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.025
1808,0.23199999999999998
1809,0.46
1810,0.633
1811,0.75
1812,0.8170000000000001
1813,0.8240000000000001
1814,0.78
1815,0.6679999999999999
1816,0.51
1817,0.297
1818,0.07400000000000001
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.027000000000000003
1832,0.243
1833,0.474
1834,0.648
1835,0.764
1836,0.8250000000000001
1837,0.8300000000000001
1838,0.78
1839,0.687
1840,0.527
1841,0.312
1842,0.081
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.026
1856,0.228
1857,0.457
1858,0.632
1859,0.745
1860,0.8160000000000001
1861,0.8180000000000001
1862,0.768
1863,0.659
1864,0.5
1865,0.29
1866,0.07400000000000001
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.027000000000000003
1880,0.22399999999999998
1881,0.442
1882,0.607
1883,0.7070000000000001
1884,0.757
1885,0.767
1886,0.7290000000000001
1887,0.65
1888,0.493
1889,0.28500000000000003
1890,0.07200000000000001
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.025
1904,0.207
1905,0.418
1906,0.5730000000000001
1907,0.6809999999999999
1908,0.772
1909,0.777
1910,0.73
1911,0.606
1912,0.46399999999999997
1913,0.272
1914,0.07200000000000001
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.027000000000000003
1928,0.22
1929,0.442
1930,0.612
1931,0.725
1932,0.7929999999999999
1933,0.7979999999999999
1934,0.748
1935,0.645
1936,0.491
1937,0.28600000000000003
1938,0.07400000000000001
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
